,Magnitude,Repute,Summary
Rs9561778(T;T),1.5,Bad,~2x increased risk of adverse drug reactions from cyclophosphamide treatments
Rs9642880(G;T),1.5,Bad,1.2x increased bladder cancer risk
Rs9642880(T;T),2,Bad,1.5x increased bladder cancer risk
Rs9652490(A;A),2,Bad,"~2x increased risk for Parkinson's disease, and, essential tremor"
Rs9652490(A;G),1.5,Bad,Slightly increased risk of developing Parkinson's Disease
Rs9652490(G;G),1,Good,Normal risk of developing Parkinson's Disease
Rs965513(A;A),2,Bad,3.1x increased thyroid cancer risk
Rs965513(A;G),2,Bad,1.77x increased thyroid cancer risk
Rs966221(C;C),1.5,Bad,1.5x increased stroke risk certain populations
Rs9858542(A;A),1.3,Bad,1.8x risk of Crohn's disease
Rs9858542(A;G),1.2,Bad,1.1x risk Crohn's Disease
Rs987525(A;A),2,Bad,6x increased risk for cleft lip
Rs987525(A;C),1,Bad,2.5x increased risk for cleft lip
Rs9886784(A;A),1.5,Bad,mixed evidence of Alzheimer's disease risk
Rs9951307(A;G),0,Good,0.10 decreased risk for brain edema after a stroke
Rs997669(G;G),1.1,Bad,Very slightly increased (1.18x) increased breast cancer risk
Rs1021737(T;T),3,Bad,significantly higher plasma total homocysteine concentration
Rs5742905(C;C),3.5,Bad,"possible miscall in Ancestry V2.0 datasets; otherwise, Mild clinical homocystinuria which is responsive to vitamin B6"
